keyword,type,date,index
['东风汽车'],wise,2017-02-17,1481
['东风汽车'],wise,2017-02-18,1282
['东风汽车'],wise,2017-02-19,1255
['东风汽车'],wise,2017-02-20,1687
['东风汽车'],wise,2017-02-21,1530
['东风汽车'],wise,2017-02-22,1443
['东风汽车'],wise,2017-02-23,1481
['东风汽车'],wise,2017-02-24,1323
['东风汽车'],wise,2017-02-25,1168
['东风汽车'],wise,2017-02-26,1124
['东风汽车'],wise,2017-02-27,1235
['东风汽车'],wise,2017-02-28,1172
['东风汽车'],wise,2017-03-01,1454
['东风汽车'],wise,2017-03-02,1261
['东风汽车'],wise,2017-03-03,1405
['东风汽车'],wise,2017-03-04,1411
['东风汽车'],wise,2017-03-05,1504
['东风汽车'],wise,2017-03-06,1572
['东风汽车'],wise,2017-03-07,1654
['东风汽车'],wise,2017-03-08,1561
['东风汽车'],wise,2017-03-09,1667
['东风汽车'],wise,2017-03-10,1656
['东风汽车'],wise,2017-03-11,1593
['东风汽车'],wise,2017-03-12,1654
['东风汽车'],wise,2017-03-13,1789
['东风汽车'],wise,2017-03-14,1730
['东风汽车'],wise,2017-03-15,1644
['东风汽车'],wise,2017-03-16,1704
['东风汽车'],wise,2017-03-17,1647
['东风汽车'],wise,2017-03-18,1466
['东风汽车'],wise,2017-03-19,1588
['东风汽车'],wise,2017-03-20,1659
['东风汽车'],wise,2017-03-21,1624
['东风汽车'],wise,2017-03-22,1599
['东风汽车'],wise,2017-03-23,1597
['东风汽车'],wise,2017-03-24,1542
['东风汽车'],wise,2017-03-25,1335
['东风汽车'],wise,2017-03-26,1414
['东风汽车'],wise,2017-03-27,1462
['东风汽车'],wise,2017-03-28,1479
['东风汽车'],wise,2017-03-29,1439
['东风汽车'],wise,2017-03-30,1582
['东风汽车'],wise,2017-03-31,1494
['东风汽车'],wise,2017-04-01,1130
